"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
344.60734018347	1.13484834165408	0.208028713562832	5.4552485674595	4.89043859281466e-08	0.00066385613393106
268.202116318923	1.24693375664019	0.248568367909849	5.01646193811929	5.26316972580529e-07	0.00209776787346284
549.280526360214	-6.42132896243136	1.29692536437883	-4.95119390737408	7.37595633387329e-07	0.00220064349470064
435.629383438414	1.08581702198105	0.221541474986188	4.9011907230858	9.52575212163625e-07	0.00220064349470064
63.0463290030208	1.21669428649645	0.253837393694881	4.7932035102714	1.64138967655436e-06	0.00290763062370068
134.026016744354	1.28491635852672	0.273654017133787	4.69540470110669	2.6607939733678e-06	0.00424210383174029
55.7517928386205	1.36135960926871	0.297065019417013	4.58269914088289	4.59012225968677e-06	0.00580484142722763
5075.10033785776	1.05225500506014	0.234199918062043	4.49297768234652	7.02341475741681e-06	0.00699839384234351
224.700567025727	1.00086381924074	0.227972587141816	4.39028144475162	1.13204044757567e-05	0.0100267338087216
239.694539873477	1.35408855310794	0.310090850558255	4.36674784396308	1.26110173248382e-05	0.0100528724604947
164.113741815991	1.13332832047703	0.261170784690514	4.33941461645498	1.42862759932169e-05	0.0108460046742789
130.927514444166	1.0690121134198	0.249300654612391	4.28804374814773	1.80253596990267e-05	0.0119740962367326
137.763297172706	1.0292258408931	0.24120229675412	4.26706484450391	1.98061603501459e-05	0.0126307845784951
138.084921051171	1.28502455128505	0.306129550347735	4.19764949128689	2.69699624223914e-05	0.016523772309659
83.8934606228428	1.41888281250362	0.338693364837701	4.18928434923292	2.79835571950569e-05	0.016523772309659
182.780034988905	1.03458504969357	0.247895070866104	4.1734797149411	2.99982381280626e-05	0.0170807825169894
897.759558745719	1.47549446832957	0.358410615447118	4.11677111317946	3.84217303081371e-05	0.0179724866355754
41.9436665048846	1.17090847279415	0.283475310410032	4.13054833982013	3.61898984373949e-05	0.0179724866355754
23.3768556485823	1.2860514896581	0.314617546328784	4.0876661351689	4.35734620243321e-05	0.0190957137625923
89.5308951672308	1.03887157755037	0.260838510077813	3.98281518032154	6.81037172337947e-05	0.0253610109090616
154.728291282825	1.10244966701741	0.28156329694669	3.91545943300323	9.02322163204188e-05	0.0326948232908281
41.3200705320871	1.28251096245406	0.328851548433708	3.89996935870471	9.62048628845632e-05	0.0336767291491573
180.390210508375	1.20642504018682	0.311572719680513	3.87204964999468	0.000107923960357285	0.0355523225643474
142.763845311112	1.00179858165815	0.258996471347353	3.86800088992174	0.000109731264583537	0.0355523225643474
143.120946955798	-3.25682674817065	0.846267662083325	-3.84845941076498	0.000118862986262772	0.0355523225643474
1152.77915598462	1.42605276327354	0.372692649155584	3.82635065785327	0.000130056990947597	0.035721648178834
132.031396586311	1.37945748037928	0.360923914264901	3.82201739995212	0.000132364347462742	0.035721648178834
137.926367434354	1.40297864612446	0.366010155442206	3.83316863006003	0.000126503171132043	0.035721648178834
64.0462689561998	2.3707733200784	0.623409035962511	3.80291780085935	0.000143001814386116	0.0373750479796369
136.720852262173	1.23644379557659	0.326685819800688	3.78481011612609	0.000153825982784739	0.0383368888498322
104.08270322863	1.34500388355182	0.360685586426363	3.72902032731053	0.000192225646963848	0.0464341437809792
186.597348362994	-4.29639848284629	1.15856596963312	-3.70837621288566	0.000208592588944006	0.048196980370062
